stop_id,stop_name,stop_code,platform_code,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,zone_id,stop_name_stem,town_name,street_name
504301,PKP Wola (Kasprzaka),01,,52.227852,20.958139,0,,1,1,PKP Wola (Kasprzaka),Warszawa,Kasprzaka
504302,PKP Wola (Kasprzaka),02,,52.228041,20.956087,0,,1,1,PKP Wola (Kasprzaka),Warszawa,Kasprzaka
504303,PKP Wola (Kasprzaka),03,,52.228033,20.958584,0,,1,1,PKP Wola (Kasprzaka),Warszawa,Kasprzaka
504304,PKP Wola (Kasprzaka),04,,52.228017,20.957851,0,,1,1,PKP Wola (Kasprzaka),Warszawa,Kasprzaka
504305,PKP Wola (Kasprzaka),05,,52.22722,20.956982,0,,1,1,PKP Wola (Kasprzaka),Warszawa,al. Prymasa Tysiąclecia
504306,PKP Wola (Kasprzaka),06,,52.228674,20.957286,0,,1,1,PKP Wola (Kasprzaka),Warszawa,al. Prymasa Tysiąclecia
504401,Ordona - WSA,01,,52.227492,20.952709,0,,1,1,Ordona - WSA,Warszawa,Kasprzaka
504402,Ordona - WSA,02,,52.227808,20.952579,0,,1,1,Ordona - WSA,Warszawa,Kasprzaka
504403,Ordona - WSA,03,,52.227514,20.950997,0,,1,1,Ordona - WSA,Warszawa,Kasprzaka
504404,Ordona - WSA,04,,52.227632,20.952223,0,,1,1,Ordona - WSA,Warszawa,Kasprzaka
504406,Ordona - WSA,06,,52.226429,20.951095,0,,1,1,Ordona - WSA,Warszawa,Jana Kazimierza
508801,Sienna,01,,52.229748,20.993715,0,,1,1,Sienna,Warszawa,Żelazna
509601,Parafialna,01,,52.222919,20.958097,0,,1,1,Parafialna,Warszawa,al. Prymasa Tysiąclecia
509602,Parafialna,02,,52.22415,20.95826,0,,1,1,Parafialna,Warszawa,al. Prymasa Tysiąclecia
509701,Armatnia,01,,52.22056,20.95955,0,,1,1,Armatnia,Warszawa,al. Prymasa Tysiąclecia
509702,Armatnia,02,,52.22117,20.95968,0,,1,1,Armatnia,Warszawa,al. Prymasa Tysiąclecia
511901,Brylowska,01,,52.224766,20.969254,0,,1,1,Brylowska,Warszawa,Brylowska
511902,Brylowska,02,,52.22578,20.96917,0,,1,1,Brylowska,Warszawa,Brylowska
512001,Kolejowa,01,,52.223012,20.969226,0,,1,1,Kolejowa,Warszawa,Tunelowa
512002,Kolejowa,02,,52.222907,20.96932,0,,1,1,Kolejowa,Warszawa,Tunelowa
512101,Dw. Zachodni (Tunelowa),01,,52.221328,20.964367,0,,1,1,Dw. Zachodni (Tunelowa),Warszawa,Tunelowa
520301,Gizów,01,,52.224947,20.945854,0,,1,1,Gizów,Warszawa,Jana Kazimierza
520302,Gizów,02,,52.224675,20.944829,0,,1,1,Gizów,Warszawa,Jana Kazimierza
520401,Goleszowska,01,,52.22368,20.941862,0,,1,1,Goleszowska,Warszawa,Jana Kazimierza
520402,Goleszowska,02,,52.223444,20.940879,0,,1,1,Goleszowska,Warszawa,Jana Kazimierza
5902,Warszawa Zachodnia (Peron 9),,,52.222057,20.961357,0,,1,1,Warszawa Zachodnia (Peron 9),Warszawa,
5903,Warszawa Wola,,,52.229784,20.957835,0,,1,1,Warszawa Wola,Warszawa,
